,LI_chr,LI_dis,LI_soc,LI_previous
282,0,50,200,0
283,0,50,150,1
284,0,50,100,1
285,0,50,50,1
286,0,0,0,1
287,0,0,0,0
288,0,0,0,0
289,50,0,0,0
290,17.64705882,0,42.5,-1
291,50,0,57.5,-0.352941176
292,0,0,100,-1
293,0,0,100,0
294,0,50,100,0
295,0,50,50,1
296,0,0,0,1
297,0,0,0,0
298,50,0,0,0
299,50,0,42.5,-1
300,50,0,85,-1
301,50,0,127.5,-1
302,35.29411765,0,170,-1
303,0,0,200,-0.705882353
304,0,0,200,0
305,0,50,200,0
306,0,50,150,1
307,0,50,100,1
308,0,50,50,1
309,0,0,0,1
310,0,0,0,0
311,0,0,0,0
312,0,0,0,0
313,50,0,0,0
314,50,0,42.5,-1
315,0,0,85,-1
316,0,0,85,0
317,0,0,85,0
318,0,50,85,0
319,0,35,35,1
320,0,0,0,0.7
321,50,0,0,0
322,50,0,42.5,-1
323,50,0,85,-1
324,50,0,127.5,-1
325,35.29411765,0,170,-1
326,0,0,200,-0.705882353
327,0,0,200,0
328,0,0,200,0
329,0,50,200,0
330,0,50,150,1
331,0,50,100,1
332,0,50,50,1
333,0,0,0,1
334,0,0,0,0
335,0,0,0,0
336,0,0,0,0
337,0,0,0,0
338,0,0,0,0
339,0,0,0,0
340,0,0,0,0
341,0,0,0,0
342,0,0,0,0
343,0,0,0,0
344,0,0,0,0
345,50,0,0,0
346,50,0,42.5,-1
347,50,0,85,-1
348,50,0,127.5,-1
349,35.29411765,0,170,-1
350,0,0,200,-0.705882353
351,0,0,200,0
352,0,0,200,0
353,0,50,200,0
354,0,50,150,1
355,0,50,100,1
356,0,50,50,1
357,0,0,0,1
358,0,0,0,0
359,0,0,0,0
360,0,0,0,0
361,0,0,0,0
362,50,0,0,0
363,50,0,42.5,-1
364,50,0,85,-1
365,0,0,127.5,-1
366,0,50,127.5,0
367,0,50,77.5,1
368,0,0,27.5,1
369,50,0,27.5,0
370,50,0,70,-1
371,50,0,112.5,-1
372,50,0,155,-1
373,2.941176471,0,197.5,-1
374,0,0,200,-0.058823529
375,0,0,200,0
376,0,0,200,0
377,0,50,200,0
378,0,50,150,1
379,0,50,100,1
380,0,50,50,1
381,0,0,0,1
382,0,0,0,0
383,0,0,0,0
384,0,0,0,0
385,0,0,0,0
386,50,0,0,0
387,50,0,42.5,-1
388,50,0,85,-1
389,0,0,127.5,-1
390,0,50,127.5,0
391,0,50,77.5,1
392,2.941176471,0,27.5,1
393,50,0,30,-0.058823529
394,50,0,72.5,-1
395,50,0,115,-1
396,50,0,157.5,-1
397,0,0,200,-1
398,0,0,200,0
399,0,0,200,0
400,0,0,200,0
401,0,50,200,0
402,0,50,150,1
403,0,50,100,1
404,0,50,50,1
405,0,0,0,1
406,0,0,0,0
407,0,0,0,0
408,0,0,0,0
409,0,0,0,0
410,50,0,0,0
411,50,0,42.5,-1
412,50,0,85,-1
413,0,0,127.5,-1
414,0,50,127.5,0
415,0,50,77.5,1
