OUTAGE_DATE,Hour,Type,Trading Hub,Outage,Report Date
2017-10-02,23,Hydro,SP15,473.71,2017-10-01
2017-10-02,24,Hydro,SP15,473.71,2017-10-01
2017-10-02,1,Renewable,SP15,312.03,2017-10-01
2017-10-02,2,Renewable,SP15,312.03,2017-10-01
2017-10-02,3,Renewable,SP15,312.03,2017-10-01
2017-10-02,4,Renewable,SP15,312.03,2017-10-01
2017-10-02,5,Renewable,SP15,337.03,2017-10-01
2017-10-02,6,Renewable,SP15,236.22,2017-10-01
2017-10-02,7,Renewable,SP15,275.83,2017-10-01
2017-10-02,8,Renewable,SP15,632.78,2017-10-01
2017-10-02,9,Renewable,SP15,634.78,2017-10-01
2017-10-02,10,Renewable,SP15,634.78,2017-10-01
2017-10-02,11,Renewable,SP15,634.78,2017-10-01
2017-10-02,12,Renewable,SP15,634.78,2017-10-01
2017-10-02,13,Renewable,SP15,634.78,2017-10-01
2017-10-02,14,Renewable,SP15,634.78,2017-10-01
2017-10-02,15,Renewable,SP15,634.78,2017-10-01
2017-10-02,16,Renewable,SP15,609.78,2017-10-01
2017-10-02,17,Renewable,SP15,539.17,2017-10-01
2017-10-02,18,Renewable,SP15,529.17,2017-10-01
2017-10-02,19,Renewable,SP15,690.03,2017-10-01
2017-10-02,20,Renewable,SP15,690.03,2017-10-01
2017-10-02,21,Renewable,SP15,688.36,2017-10-01
2017-10-02,22,Renewable,SP15,688.36,2017-10-01
2017-10-02,23,Renewable,SP15,688.36,2017-10-01
2017-10-02,24,Renewable,SP15,688.36,2017-10-01
2017-10-02,1,Thermal,SP15,1407.3,2017-10-01
2017-10-02,2,Thermal,SP15,1881.31,2017-10-01
2017-10-02,3,Thermal,SP15,1876.83,2017-10-01
2017-10-02,4,Thermal,SP15,2391.63,2017-10-01
2017-10-02,5,Thermal,SP15,2388.57,2017-10-01
2017-10-02,6,Thermal,SP15,1401.55,2017-10-01
2017-10-02,7,Thermal,SP15,2015.22,2017-10-01
2017-10-02,8,Thermal,SP15,2024.78,2017-10-01
2017-10-02,9,Thermal,SP15,2059.91,2017-10-01
2017-10-02,10,Thermal,SP15,2047.44,2017-10-01
2017-10-02,11,Thermal,SP15,2034.38,2017-10-01
2017-10-02,12,Thermal,SP15,2062.08,2017-10-01
2017-10-02,13,Thermal,SP15,2070.15,2017-10-01
2017-10-02,14,Thermal,SP15,2077.53,2017-10-01
2017-10-02,15,Thermal,SP15,2084.53,2017-10-01
2017-10-02,16,Thermal,SP15,1905.3,2017-10-01
2017-10-02,17,Thermal,SP15,1865.65,2017-10-01
2017-10-02,18,Thermal,SP15,1854.77,2017-10-01
2017-10-02,19,Thermal,SP15,1845.72,2017-10-01
2017-10-02,20,Thermal,SP15,1834.82,2017-10-01
2017-10-02,21,Thermal,SP15,1815.38,2017-10-01
2017-10-02,22,Thermal,SP15,1827.16,2017-10-01
2017-10-02,23,Thermal,SP15,1816.8,2017-10-01
2017-10-02,24,Thermal,SP15,1806.31,2017-10-01
2017-10-03,1,Hydro,SP15,316.71,2017-10-02
2017-10-03,2,Hydro,SP15,316.71,2017-10-02
2017-10-03,3,Hydro,SP15,316.71,2017-10-02
2017-10-03,4,Hydro,SP15,316.71,2017-10-02
2017-10-03,5,Hydro,SP15,316.71,2017-10-02
2017-10-03,6,Hydro,SP15,316.71,2017-10-02
2017-10-03,7,Hydro,SP15,316.71,2017-10-02
2017-10-03,8,Hydro,SP15,316.71,2017-10-02
2017-10-03,9,Hydro,SP15,316.71,2017-10-02
2017-10-03,10,Hydro,SP15,316.71,2017-10-02
2017-10-03,11,Hydro,SP15,316.71,2017-10-02
2017-10-03,12,Hydro,SP15,316.71,2017-10-02
2017-10-03,13,Hydro,SP15,316.71,2017-10-02
2017-10-03,14,Hydro,SP15,316.71,2017-10-02
2017-10-03,15,Hydro,SP15,316.71,2017-10-02
2017-10-03,16,Hydro,SP15,316.71,2017-10-02
2017-10-03,17,Hydro,SP15,116.71,2017-10-02
2017-10-03,18,Hydro,SP15,116.71,2017-10-02
2017-10-03,19,Hydro,SP15,316.71,2017-10-02
2017-10-03,20,Hydro,SP15,316.71,2017-10-02
2017-10-03,21,Hydro,SP15,316.71,2017-10-02
2017-10-03,22,Hydro,SP15,316.71,2017-10-02
2017-10-03,23,Hydro,SP15,316.71,2017-10-02
2017-10-03,24,Hydro,SP15,316.71,2017-10-02
2017-10-03,1,Renewable,SP15,739.71,2017-10-02
2017-10-03,2,Renewable,SP15,739.71,2017-10-02
2017-10-03,3,Renewable,SP15,739.71,2017-10-02
2017-10-03,4,Renewable,SP15,739.71,2017-10-02
2017-10-03,5,Renewable,SP15,764.71,2017-10-02
2017-10-03,6,Renewable,SP15,583.9,2017-10-02
2017-10-03,7,Renewable,SP15,589.9,2017-10-02
2017-10-03,8,Renewable,SP15,630.25,2017-10-02
2017-10-03,9,Renewable,SP15,632.25,2017-10-02
2017-10-03,10,Renewable,SP15,624.75,2017-10-02
2017-10-03,11,Renewable,SP15,624.75,2017-10-02
2017-10-03,12,Renewable,SP15,624.75,2017-10-02
2017-10-03,13,Renewable,SP15,624.75,2017-10-02
